t,v,omega,x,y,theta
4.364,0.100000000001588,-0.0415135888009682,0.218672128892355,-0.294262790107212,-1.94370993157202
4.366,0.100000000001516,-0.0413594808448943,0.218597275427651,-0.294449136744165,-1.94378166828071
4.368,0.100000000001444,-0.0412053728888203,0.218522421962948,-0.294635483381119,-1.94385340498939
4.37,0.100000000001372,-0.0410512649327464,0.218447568498244,-0.294821830018072,-1.94392514169808
4.372,0.1000000000013,-0.0408971569766725,0.21837271503354,-0.295008176655026,-1.94399687840677
4.374,0.100000000001228,-0.0407430490205986,0.218297861568837,-0.295194523291979,-1.94406861511546
4.376,0.100000000001156,-0.0405889410645246,0.218223008104133,-0.295380869928933,-1.94414035182414
4.378,0.100000000001084,-0.0404348331084507,0.218148154639429,-0.295567216565886,-1.94421208853283
4.38,0.100000000001012,-0.0402807251523767,0.218073301174726,-0.29575356320284,-1.94428382524152
4.382,0.10000000000094,-0.0401266171963028,0.217998447710022,-0.295939909839793,-1.9443555619502
4.384,0.100000000000868,-0.0399725092402288,0.217923594245318,-0.296126256476747,-1.94442729865889
4.386,0.100000000000796,-0.0398184012841549,0.217848740780615,-0.2963126031137,-1.94449903536758
4.388,0.100000000000724,-0.039664293328081,0.217773887315911,-0.296498949750653,-1.94457077207627
4.39,0.100000000000652,-0.0395101853720071,0.217699033851207,-0.296685296387607,-1.94464250878495
4.392,0.10000000000058,-0.0393560774159331,0.217624180386504,-0.29687164302456,-1.94471424549364
4.394,0.100000000000508,-0.0392019694598592,0.2175493269218,-0.297057989661514,-1.94478598220233
4.396,0.100000000000436,-0.0390478615037852,0.217474473457097,-0.297244336298467,-1.94485771891101
4.398,0.100000000000363,-0.0388937535477113,0.217399619992393,-0.297430682935421,-1.9449294556197
4.4,0.100000000000291,-0.0387396455916373,0.217324766527689,-0.297617029572374,-1.94500119232839
4.402,0.100000000000219,-0.0385855376355634,0.217249913062986,-0.297803376209328,-1.94507292903708
4.404,0.100000000000147,-0.0384314296794895,0.217175059598282,-0.297989722846281,-1.94514466574576
4.406,0.100000000000075,-0.0382773217234155,0.217100206133578,-0.298176069483235,-1.94521640245445
4.408,0.100000000000003,-0.0381232137673416,0.217025352668875,-0.298362416120188,-1.94528813916314
4.41,0.0999999999999311,-0.0379691058112676,0.216950499204171,-0.298548762757142,-1.94535987587183
4.412,0.0999999999998591,-0.0378149978551937,0.216875645739467,-0.298735109394095,-1.94543161258051
4.414,0.099999999999787,-0.0376608898991198,0.216800792274764,-0.298921456031049,-1.9455033492892
4.416,0.0999999999997149,-0.0375067819430458,0.21672593881006,-0.299107802668002,-1.94557508599789
4.418,0.0999999999996429,-0.0373526739869719,0.216651085345356,-0.299294149304956,-1.94564682270657
4.42,0.0999999999995708,-0.037198566030898,0.216576231880653,-0.299480495941909,-1.94571855941526
4.422,0.0999999999994988,-0.037044458074824,0.216501378415949,-0.299666842578863,-1.94579029612395
4.424,0.0999999999994267,-0.03689035011875,0.216426524951245,-0.299853189215816,-1.94586203283264
4.426,0.0999999999993547,-0.0367362421626761,0.216351671486542,-0.300039535852769,-1.94593376954132
4.428,0.0999999999992826,-0.0365821342066022,0.216276818021838,-0.300225882489723,-1.94600550625001
4.43,0.0999999999992106,-0.0364280262505283,0.216201964557134,-0.300412229126676,-1.9460772429587
4.432,0.0999999999991385,-0.0362739182944543,0.216127111092431,-0.30059857576363,-1.94614897966739
4.434,0.0999999999990664,-0.0361198103383804,0.216052257627727,-0.300784922400583,-1.94622071637607
4.436,0.0999999999989944,-0.0359657023823064,0.215977404163023,-0.300971269037537,-1.94629245308476
4.438,0.0999999999989223,-0.0358115944262325,0.21590255069832,-0.30115761567449,-1.94636418979345
4.44,0.0999999999988503,-0.0356574864701585,0.215827697233616,-0.301343962311444,-1.94643592650213
4.442,0.0999999999987782,-0.0355033785140846,0.215752843768912,-0.301530308948397,-1.94650766321082
4.444,0.0999999999987062,-0.0353492705580107,0.215677990304209,-0.301716655585351,-1.94657939991951
4.446,0.0999999999986341,-0.0351951626019368,0.215603136839505,-0.301903002222304,-1.9466511366282
4.448,0.099999999998562,-0.0350410546458628,0.215528283374801,-0.302089348859258,-1.94672287333688
4.45,0.09999999999849,-0.0348869466897889,0.215453429910098,-0.302275695496211,-1.94679461004557
4.452,0.0999999999984179,-0.0347328387337149,0.215378576445394,-0.302462042133165,-1.94686634675426
4.454,0.0999999999983459,-0.034578730777641,0.21530372298069,-0.302648388770118,-1.94693808346294
4.456,0.0999999999982738,-0.034424622821567,0.215228869515987,-0.302834735407072,-1.94700982017163
4.458,0.0999999999982017,-0.0342705148654931,0.215154016051283,-0.303021082044025,-1.94708155688032
4.46,0.0999999999981297,-0.0341164069094192,0.215079162586579,-0.303207428680979,-1.94715329358901
4.462,0.0999999999980576,-0.0339622989533453,0.215004309121876,-0.303393775317932,-1.94722503029769
4.464,0.0999999999979856,-0.0338081909972713,0.214929455657172,-0.303580121954886,-1.94729676700638
4.466,0.0999999999979135,-0.0336540830411973,0.214854602192468,-0.303766468591839,-1.94736850371507
4.468,0.0999999999978415,-0.0334999750851234,0.214779748727765,-0.303952815228793,-1.94744024042376
4.47,0.0999999999977694,-0.0333458671290495,0.214704895263061,-0.304139161865746,-1.94751197713244
4.472,0.0999999999976973,-0.0331917591729755,0.214630041798358,-0.3043255085027,-1.94758371384113
4.474,0.0999999999976253,-0.0330376512169016,0.214555188333654,-0.304511855139653,-1.94765545054982
4.476,0.0999999999975532,-0.0328835432608277,0.21448033486895,-0.304698201776606,-1.9477271872585
4.478,0.0999999999974812,-0.0327294353047537,0.214405481404247,-0.30488454841356,-1.94779892396719
4.48,0.0999999999974091,-0.0325753273486798,0.214330627939543,-0.305070895050513,-1.94787066067588
4.482,0.0999999999973371,-0.0324212193926058,0.214255774474839,-0.305257241687467,-1.94794239738457
4.484,0.099999999997265,-0.0322671114365319,0.214180921010136,-0.30544358832442,-1.94801413409325
4.486,0.0999999999971929,-0.032113003480458,0.214106067545432,-0.305629934961374,-1.94808587080194
4.488,0.0999999999971209,-0.031958895524384,0.214031214080728,-0.305816281598327,-1.94815760751063
4.49,0.0999999999970488,-0.0318047875683101,0.213956360616025,-0.306002628235281,-1.94822934421932
4.492,0.0999999999969768,-0.0316506796122362,0.213881507151321,-0.306188974872234,-1.948301080928
4.494,0.0999999999969047,-0.0314965716561622,0.213806653686617,-0.306375321509188,-1.94837281763669
4.496,0.0999999999968327,-0.0313424637000882,0.213731800221914,-0.306561668146141,-1.94844455434538
4.498,0.0999999999967606,-0.0311883557440143,0.21365694675721,-0.306748014783095,-1.94851629105406
4.5,0.0999999999966886,-0.0310342477879404,0.213582093292506,-0.306934361420048,-1.94858802776275
4.502,0.0999999999966165,-0.0308801398318665,0.213507239827803,-0.307120708057002,-1.94865976447144
4.504,0.0999999999965444,-0.0307260318757925,0.213432386363099,-0.307307054693955,-1.94873150118013
4.506,0.0999999999964724,-0.0305719239197186,0.213357532898395,-0.307493401330909,-1.94880323788881
4.508,0.0999999999964003,-0.0304178159636447,0.213282679433692,-0.307679747967862,-1.9488749745975
4.51,0.0999999999963283,-0.0302637080075707,0.213207825968988,-0.307866094604816,-1.94894671130619
4.512,0.0999999999962562,-0.0301096000514967,0.213132972504284,-0.308052441241769,-1.94901844801487
4.514,0.0999999999961841,-0.0299554920954228,0.213058119039581,-0.308238787878723,-1.94909018472356
4.516,0.0999999999961121,-0.0298013841393489,0.212983265574877,-0.308425134515676,-1.94916192143225
4.518,0.09999999999604,-0.029647276183275,0.212908412110173,-0.308611481152629,-1.94923365814094
4.52,0.099999999995968,-0.029493168227201,0.21283355864547,-0.308797827789583,-1.94930539484962
4.522,0.0999999999958959,-0.0293390602711271,0.212758705180766,-0.308984174426536,-1.94937713155831
4.524,0.0999999999958238,-0.0291849523150531,0.212683851716062,-0.30917052106349,-1.949448868267
4.526,0.0999999999957518,-0.0290308443589792,0.212608998251359,-0.309356867700443,-1.94952060497569
4.528,0.0999999999956797,-0.0288767364029052,0.212534144786655,-0.309543214337397,-1.94959234168437
4.53,0.0999999999956077,-0.0287226284468313,0.212459291321951,-0.30972956097435,-1.94966407839306
4.532,0.0999999999955356,-0.0285685204907574,0.212384437857248,-0.309915907611304,-1.94973581510175
4.534,0.0999999999954636,-0.0284144125346835,0.212309584392544,-0.310102254248257,-1.94980755181043
4.536,0.0999999999953915,-0.0282603045786095,0.21223473092784,-0.310288600885211,-1.94987928851912
4.538,0.0999999999953194,-0.0281061966225355,0.212159877463137,-0.310474947522164,-1.94995102522781
4.54,0.0999999999952474,-0.0279520886664616,0.212085023998433,-0.310661294159118,-1.9500227619365
4.542,0.0999999999951753,-0.0277979807103877,0.21201017053373,-0.310847640796071,-1.95009449864518
4.544,0.0999999999951033,-0.0276438727543137,0.211935317069026,-0.311033987433025,-1.95016623535387
4.546,0.0999999999950312,-0.0274897647982398,0.211860463604322,-0.311220334069978,-1.95023797206256
4.548,0.0999999999949591,-0.0273356568421659,0.211785610139618,-0.311406680706932,-1.95030970877125
4.55,0.0999999999948871,-0.0271815488860919,0.211710756674915,-0.311593027343885,-1.95038144547993
4.552,0.099999999994815,-0.027027440930018,0.211635903210211,-0.311779373980839,-1.95045318218862
4.554,0.099999999994743,-0.026873332973944,0.211561049745508,-0.311965720617792,-1.95052491889731
4.556,0.0999999999946709,-0.0267192250178701,0.211486196280804,-0.312152067254746,-1.95059665560599
4.558,0.0999999999945989,-0.0265651170617962,0.2114113428161,-0.312338413891699,-1.95066839231468
4.56,0.0999999999945268,-0.0264110091057222,0.211336489351397,-0.312524760528653,-1.95074012902337
4.562,0.0999999999944547,-0.0262569011496483,0.211261635886693,-0.312711107165606,-1.95081186573206
4.564,0.0999999999943827,-0.0261027931935744,0.211186782421989,-0.31289745380256,-1.95088360244074
4.566,0.0999999999943106,-0.0259486852375004,0.211111928957286,-0.313083800439513,-1.95095533914943
4.568,0.0999999999942386,-0.0257945772814264,0.211037075492582,-0.313270147076466,-1.95102707585812
4.57,0.0999999999941665,-0.0256404693253525,0.210962222027878,-0.31345649371342,-1.9510988125668
4.572,0.0999999999940945,-0.0254863613692786,0.210887368563175,-0.313642840350373,-1.95117054927549
4.574,0.0999999999940224,-0.0253322534132047,0.210812515098471,-0.313829186987327,-1.95124228598418
4.576,0.0999999999939504,-0.0251781454571307,0.210737661633767,-0.31401553362428,-1.95131402269287
4.578,0.0999999999938783,-0.0250240375010568,0.210662808169064,-0.314201880261234,-1.95138575940155
4.58,0.0999999999938062,-0.0248699295449828,0.21058795470436,-0.314388226898187,-1.95145749611024
4.582,0.0999999999937342,-0.0247158215889089,0.210513101239656,-0.314574573535141,-1.95152923281893
4.584,0.0999999999936621,-0.0245617136328349,0.210438247774953,-0.314760920172094,-1.95160096952762
4.586,0.0999999999935901,-0.024407605676761,0.210363394310249,-0.314947266809048,-1.9516727062363
4.588,0.099999999993518,-0.0242534977206871,0.210288540845545,-0.315133613446001,-1.95174444294499
4.59,0.0999999999934459,-0.0240993897646132,0.210213687380842,-0.315319960082955,-1.95181617965368
4.592,0.0999999999933739,-0.0239452818085392,0.210138833916138,-0.315506306719908,-1.95188791636236
4.594,0.0999999999933018,-0.0237911738524653,0.210063980451434,-0.315692653356862,-1.95195965307105
4.596,0.0999999999932298,-0.0236370658963913,0.209989126986731,-0.315878999993815,-1.95203138977974
4.598,0.0999999999931577,-0.0234829579403174,0.209914273522027,-0.316065346630769,-1.95210312648843
4.6,0.0999999999930857,-0.0233288499842434,0.209839420057323,-0.316251693267722,-1.95217486319711
4.602,0.0999999999930136,-0.0231747420281695,0.20976456659262,-0.316438039904676,-1.9522465999058
4.604,0.0999999999929415,-0.0230206340720956,0.209689713127916,-0.316624386541629,-1.95231833661449
4.606,0.0999999999928695,-0.0228665261160217,0.209614859663212,-0.316810733178583,-1.95239007332317
4.608,0.0999999999927974,-0.0227124181599477,0.209540006198509,-0.316997079815536,-1.95246181003186
4.61,0.0999999999927254,-0.0225583102038737,0.209465152733805,-0.31718342645249,-1.95253354674055
4.612,0.0999999999926533,-0.0224042022477998,0.209390299269101,-0.317369773089443,-1.95260528344924
4.614,0.0999999999925813,-0.0222500942917259,0.209315445804398,-0.317556119726396,-1.95267702015792
4.616,0.0999999999925092,-0.022095986335652,0.209240592339694,-0.31774246636335,-1.95274875686661
4.618,0.0999999999924372,-0.021941878379578,0.20916573887499,-0.317928813000303,-1.9528204935753
4.62,0.0999999999923651,-0.0217877704235041,0.209090885410287,-0.318115159637257,-1.95289223028399
4.622,0.099999999992293,-0.0216336624674301,0.209016031945583,-0.31830150627421,-1.95296396699267
4.624,0.099999999992221,-0.0214795545113562,0.20894117848088,-0.318487852911164,-1.95303570370136
4.626,0.0999999999921489,-0.0213254465552822,0.208866325016176,-0.318674199548117,-1.95310744041005
4.628,0.0999999999920769,-0.0211713385992083,0.208791471551472,-0.318860546185071,-1.95317917711873
4.63,0.0999999999920048,-0.0210172306431344,0.208716618086769,-0.319046892822024,-1.95325091382742
4.632,0.0999999999919327,-0.0208631226870605,0.208641764622065,-0.319233239458978,-1.95332265053611
4.634,0.0999999999918607,-0.0207090147309865,0.208566911157361,-0.319419586095931,-1.9533943872448
4.636,0.0999999999917886,-0.0205549067749126,0.208492057692658,-0.319605932732885,-1.95346612395348
4.638,0.0999999999917166,-0.0204007988188386,0.208417204227954,-0.319792279369838,-1.95353786066217
4.64,0.0999999999916445,-0.0202466908627647,0.20834235076325,-0.319978626006792,-1.95360959737086
4.642,0.0999999999915725,-0.0200925829066907,0.208267497298547,-0.320164972643745,-1.95368133407955
4.644,0.0999999999915004,-0.0199384749506168,0.208192643833843,-0.320351319280699,-1.95375307078823
4.646,0.0999999999914283,-0.0197843669945429,0.208117790369139,-0.320537665917652,-1.95382480749692
4.648,0.0999999999913563,-0.019630259038469,0.208042936904436,-0.320724012554606,-1.95389654420561
4.65,0.0999999999912842,-0.019476151082395,0.207968083439732,-0.320910359191559,-1.95396828091429
4.652,0.0999999999912122,-0.019322043126321,0.207893229975028,-0.321096705828513,-1.95404001762298
4.654,0.0999999999911401,-0.0191679351702471,0.207818376510325,-0.321283052465466,-1.95411175433167
4.656,0.0999999999910681,-0.0190138272141732,0.207743523045621,-0.321469399102419,-1.95418349104036
4.658,0.099999999990996,-0.0188597192580992,0.207668669580917,-0.321655745739373,-1.95425522774904
4.66,0.0999999999909239,-0.0187056113020253,0.207593816116214,-0.321842092376326,-1.95432696445773
4.662,0.0999999999908519,-0.0185515033459514,0.20751896265151,-0.32202843901328,-1.95439870116642
4.664,0.0999999999907798,-0.0183973953898774,0.207444109186806,-0.322214785650233,-1.9544704378751
4.666,0.0999999999907078,-0.0182432874338035,0.207369255722103,-0.322401132287187,-1.95454217458379
4.668,0.0999999999906357,-0.0180891794777295,0.207294402257399,-0.32258747892414,-1.95461391129248
4.67,0.0999999999905637,-0.0179350715216556,0.207219548792695,-0.322773825561094,-1.95468564800117
4.672,0.0999999999904916,-0.0177809635655817,0.207144695327992,-0.322960172198047,-1.95475738470985
4.674,0.0999999999904195,-0.0176268556095077,0.207069841863288,-0.323146518835001,-1.95482912141854
4.676,0.0999999999903475,-0.0174727476534338,0.206994988398584,-0.323332865471954,-1.95490085812723
4.678,0.0999999999902754,-0.0173186396973599,0.206920134933881,-0.323519212108908,-1.95497259483592
4.68,0.0999999999902034,-0.0171645317412859,0.206845281469177,-0.323705558745861,-1.9550443315446
4.682,0.0999999999901313,-0.0170104237852119,0.206770428004473,-0.323891905382815,-1.95511606825329
4.684,0.0999999999900593,-0.016856315829138,0.20669557453977,-0.324078252019768,-1.95518780496198
4.686,0.0999999999899872,-0.0167022078730641,0.206620721075066,-0.324264598656722,-1.95525954167066
4.688,0.0999999999899151,-0.0165480999169902,0.206545867610362,-0.324450945293675,-1.95533127837935
4.69,0.0999999999898431,-0.0163939919609162,0.206471014145659,-0.324637291930629,-1.95540301508804
4.692,0.099999999989771,-0.0162398840048423,0.206396160680955,-0.324823638567582,-1.95547475179673
4.694,0.099999999989699,-0.0160857760487683,0.206321307216251,-0.325009985204536,-1.95554648850541
4.696,0.0999999999896269,-0.0159316680926944,0.206246453751548,-0.325196331841489,-1.9556182252141
4.698,0.0999999999895549,-0.0157775601366204,0.206171600286844,-0.325382678478443,-1.95568996192279
4.7,0.0999999999894828,-0.0156234521805465,0.206096746822141,-0.325569025115396,-1.95576169863147
4.702,0.0999999999894107,-0.0154693442244726,0.206021893357437,-0.325755371752349,-1.95583343534016
4.704,0.0999999999893387,-0.0153152362683987,0.205947039892733,-0.325941718389303,-1.95590517204885
4.706,0.0999999999892666,-0.0151611283123247,0.20587218642803,-0.326128065026256,-1.95597690875754
4.708,0.0999999999891946,-0.0150070203562508,0.205797332963326,-0.32631441166321,-1.95604864546622
4.71,0.0999999999891225,-0.0148529124001768,0.205722479498622,-0.326500758300163,-1.95612038217491
4.712,0.0999999999890505,-0.0146988044441029,0.205647626033919,-0.326687104937117,-1.9561921188836
4.714,0.0999999999889784,-0.0145446964880289,0.205572772569215,-0.32687345157407,-1.95626385559229
4.716,0.0999999999889063,-0.014390588531955,0.205497919104511,-0.327059798211024,-1.95633559230097
4.718,0.0999999999888343,-0.0142364805758811,0.205423065639808,-0.327246144847977,-1.95640732900966
4.72,0.0999999999887622,-0.0140823726198072,0.205348212175104,-0.327432491484931,-1.95647906571835
4.722,0.0999999999886902,-0.0139282646637332,0.2052733587104,-0.327618838121884,-1.95655080242703
4.724,0.0999999999886181,-0.0137741567076592,0.205198505245697,-0.327805184758838,-1.95662253913572
4.726,0.0999999999885461,-0.0136200487515853,0.205123651780993,-0.327991531395791,-1.95669427584441
4.728,0.099999999988474,-0.0134659407955114,0.205048798316289,-0.328177878032745,-1.9567660125531
4.73,0.0999999999884019,-0.0133118328394374,0.204973944851586,-0.328364224669698,-1.95683774926178
4.732,0.0999999999883299,-0.0131577248833635,0.204899091386882,-0.328550571306652,-1.95690948597047
4.734,0.0999999999882578,-0.0130036169272896,0.204824237922178,-0.328736917943605,-1.95698122267916
4.736,0.0999999999881858,-0.0128495089712156,0.204749384457475,-0.328923264580559,-1.95705295938785
4.738,0.0999999999881137,-0.0126954010151417,0.204674530992771,-0.329109611217512,-1.95712469609653
4.74,0.0999999999880417,-0.0125412930590677,0.204599677528067,-0.329295957854466,-1.95719643280522
4.742,0.0999999999879696,-0.0123871851029938,0.204524824063364,-0.329482304491419,-1.95726816951391
4.744,0.0999999999878975,-0.0122330771469199,0.20444997059866,-0.329668651128373,-1.95733990622259
4.746,0.0999999999878255,-0.0120789691908459,0.204375117133956,-0.329854997765326,-1.95741164293128
4.748,0.0999999999877534,-0.011924861234772,0.204300263669253,-0.33004134440228,-1.95748337963997
4.75,0.0999999999876814,-0.0117707532786981,0.204225410204549,-0.330227691039233,-1.95755511634866
4.752,0.0999999999876093,-0.0116166453226241,0.204150556739845,-0.330414037676186,-1.95762685305734
4.754,0.0999999999875373,-0.0114625373665501,0.204075703275142,-0.33060038431314,-1.95769858976603
4.756,0.0999999999874652,-0.0113084294104762,0.204000849810438,-0.330786730950093,-1.95777032647472
4.758,0.0999999999873931,-0.0111543214544023,0.203925996345734,-0.330973077587047,-1.9578420631834
4.76,0.0999999999873211,-0.0110002134983284,0.203851142881031,-0.331159424224,-1.95791379989209
4.762,0.099999999987249,-0.0108461055422544,0.203776289416327,-0.331345770860954,-1.95798553660078
4.764,0.099999999987177,-0.0106919975861805,0.203701435951623,-0.331532117497907,-1.95805727330947
4.766,0.0999999999871049,-0.0105378896301065,0.20362658248692,-0.331718464134861,-1.95812901001815
4.768,0.0999999999870329,-0.0103837816740326,0.203551729022216,-0.331904810771814,-1.95820074672684
4.77,0.0999999999869608,-0.0102296737179586,0.203476875557512,-0.332091157408768,-1.95827248343553
4.772,0.0999999999868887,-0.0100755657618847,0.203402022092809,-0.332277504045721,-1.95834422014422
4.774,0.0999999999868167,-0.00992145780581079,0.203327168628105,-0.332463850682675,-1.9584159568529
4.776,0.0999999999867446,-0.00976734984973687,0.203252315163402,-0.332650197319628,-1.95848769356159
4.778,0.0999999999866726,-0.00961324189366287,0.203177461698698,-0.332836543956582,-1.95855943027028
4.78,0.0999999999866005,-0.00945913393758895,0.203102608233994,-0.333022890593535,-1.95863116697896
4.782,0.0999999999865284,-0.00930502598151503,0.203027754769291,-0.333209237230489,-1.95870290368765
4.784,0.0999999999864564,-0.00915091802544111,0.202952901304587,-0.333395583867442,-1.95877464039634
4.786,0.0999999999863843,-0.00899681006936712,0.202878047839883,-0.333581930504396,-1.95884637710503
4.788,0.0999999999863123,-0.0088427021132932,0.20280319437518,-0.333768277141349,-1.95891811381371
4.79,0.0999999999862402,-0.00868859415721927,0.202728340910476,-0.333954623778303,-1.9589898505224
4.792,0.0999999999861682,-0.00853448620114535,0.202653487445772,-0.334140970415256,-1.95906158723109
